# time_s, flow_m3_s
0.000000e+00,-0.000000e+00
4.020101e-03,-1.183616e-05
8.040201e-03,-2.364824e-05
1.206030e-02,-3.541222e-05
1.608040e-02,-4.710416e-05
2.010050e-02,-5.870029e-05
2.412060e-02,-7.017701e-05
2.814070e-02,-8.151098e-05
3.216080e-02,-9.267915e-05
3.618090e-02,-1.036588e-04
4.020101e-02,-1.144276e-04
4.422111e-02,-1.249636e-04
4.824121e-02,-1.352454e-04
5.226131e-02,-1.452521e-04
5.628141e-02,-1.549634e-04
6.030151e-02,-1.643594e-04
6.432161e-02,-1.734211e-04
6.834171e-02,-1.821300e-04
7.236181e-02,-1.904685e-04
7.638191e-02,-1.984195e-04
8.040201e-02,-2.059669e-04
8.442211e-02,-2.130953e-04
8.844221e-02,-2.197903e-04
9.246231e-02,-2.260381e-04
9.648241e-02,-2.318262e-04
1.005025e-01,-2.371427e-04
1.045226e-01,-2.419768e-04
1.085427e-01,-2.463187e-04
1.125628e-01,-2.501596e-04
1.165829e-01,-2.534916e-04
1.206030e-01,-2.563079e-04
1.246231e-01,-2.586029e-04
1.286432e-01,-2.603718e-04
1.326633e-01,-2.616111e-04
1.366834e-01,-2.623183e-04
1.407035e-01,-2.624918e-04
1.447236e-01,-2.621314e-04
1.487437e-01,-2.612378e-04
1.527638e-01,-2.598128e-04
1.567839e-01,-2.578593e-04
1.608040e-01,-2.553812e-04
1.648241e-01,-2.523837e-04
1.688442e-01,-2.488728e-04
1.728643e-01,-2.448556e-04
1.768844e-01,-2.403404e-04
1.809045e-01,-2.353363e-04
1.849246e-01,-2.298535e-04
1.889447e-01,-2.239031e-04
1.929648e-01,-2.174972e-04
1.969849e-01,-2.106490e-04
2.010050e-01,-2.033722e-04
2.050251e-01,-1.956818e-04
2.090452e-01,-1.875933e-04
2.130653e-01,-1.791232e-04
2.170854e-01,-1.702887e-04
2.211055e-01,-1.611079e-04
2.251256e-01,-1.515993e-04
2.291457e-01,-1.417824e-04
2.331658e-01,-1.316770e-04
2.371859e-01,-1.213038e-04
2.412060e-01,-1.106839e-04
2.452261e-01,-9.983877e-05
2.492462e-01,-8.879058e-05
2.532663e-01,-7.756178e-05
2.572864e-01,-6.617521e-05
2.613065e-01,-5.465403e-05
2.653266e-01,-4.302167e-05
2.693467e-01,-3.130180e-05
2.733668e-01,-1.951826e-05
2.773869e-01,-7.695010e-06
2.814070e-01,4.834344e-06
2.854271e-01,1.862569e-05
2.894472e-01,3.234280e-05
2.934673e-01,4.593097e-05
2.974874e-01,5.933605e-05
3.015075e-01,7.250460e-05
3.055276e-01,8.538412e-05
3.095477e-01,9.792328e-05
3.135678e-01,1.100721e-04
3.175879e-01,1.217821e-04
3.216080e-01,1.330067e-04
3.256281e-01,1.437011e-04
3.296482e-01,1.538226e-04
3.336683e-01,1.633309e-04
3.376884e-01,1.721882e-04
3.417085e-01,1.803591e-04
3.457286e-01,1.878110e-04
3.497487e-01,1.945142e-04
3.537688e-01,2.004421e-04
3.577889e-01,2.055709e-04
3.618090e-01,2.098802e-04
3.658291e-01,2.133530e-04
3.698492e-01,2.159752e-04
3.738693e-01,2.177365e-04
3.778894e-01,2.186298e-04
3.819095e-01,2.186516e-04
3.859296e-01,2.178018e-04
3.899497e-01,2.160838e-04
3.939698e-01,2.135044e-04
3.979899e-01,2.100739e-04
4.020101e-01,2.058060e-04
4.060302e-01,2.007177e-04
4.100503e-01,1.948292e-04
4.140704e-01,1.881641e-04
4.180905e-01,1.807490e-04
4.221106e-01,1.726133e-04
4.261307e-01,1.637896e-04
4.301508e-01,1.543129e-04
4.341709e-01,1.442211e-04
4.381910e-01,1.335544e-04
4.422111e-01,1.223553e-04
4.462312e-01,1.106684e-04
4.502513e-01,9.854040e-05
4.542714e-01,8.601959e-05
4.582915e-01,7.315587e-05
4.623116e-01,6.000054e-05
4.663317e-01,4.660602e-05
4.703518e-01,3.302572e-05
4.743719e-01,1.931377e-05
4.783920e-01,5.524827e-06
4.824121e-01,0.000000e+00
4.864322e-01,0.000000e+00
4.904523e-01,0.000000e+00
4.944724e-01,0.000000e+00
4.984925e-01,0.000000e+00
5.025126e-01,0.000000e+00
5.065327e-01,0.000000e+00
5.105528e-01,0.000000e+00
5.145729e-01,0.000000e+00
5.185930e-01,0.000000e+00
5.226131e-01,0.000000e+00
5.266332e-01,0.000000e+00
5.306533e-01,0.000000e+00
5.346734e-01,0.000000e+00
5.386935e-01,0.000000e+00
5.427136e-01,0.000000e+00
5.467337e-01,0.000000e+00
5.507538e-01,0.000000e+00
5.547739e-01,0.000000e+00
5.587940e-01,0.000000e+00
5.628141e-01,5.798733e-06
5.668342e-01,1.404756e-05
5.708543e-01,2.220891e-05
5.748744e-01,3.023195e-05
5.788945e-01,3.806672e-05
5.829146e-01,4.566444e-05
5.869347e-01,5.297779e-05
5.909548e-01,5.996122e-05
5.949749e-01,6.657124e-05
5.989950e-01,7.276670e-05
6.030151e-01,7.850902e-05
6.070352e-01,8.376242e-05
6.110553e-01,8.849420e-05
6.150754e-01,9.267489e-05
6.190955e-01,9.627845e-05
6.231156e-01,9.928245e-05
6.271357e-01,1.016682e-04
6.311558e-01,1.034208e-04
6.351759e-01,1.045293e-04
6.391960e-01,1.049869e-04
6.432161e-01,1.047907e-04
6.472362e-01,1.039419e-04
6.512563e-01,1.024459e-04
6.552764e-01,1.003118e-04
6.592965e-01,9.755313e-05
6.633166e-01,9.418691e-05
6.673367e-01,9.023414e-05
6.713568e-01,8.571945e-05
6.753769e-01,8.067095e-05
6.793970e-01,7.512008e-05
6.834171e-01,6.910140e-05
6.874372e-01,6.265240e-05
6.914573e-01,5.581323e-05
6.954774e-01,4.862650e-05
6.994975e-01,4.113694e-05
7.035176e-01,3.339121e-05
7.075377e-01,2.543754e-05
7.115578e-01,1.732546e-05
7.155779e-01,9.105482e-06
7.195980e-01,8.288035e-07
7.236181e-01,0.000000e+00
7.276382e-01,0.000000e+00
7.316583e-01,0.000000e+00
7.356784e-01,0.000000e+00
7.396985e-01,0.000000e+00
7.437186e-01,0.000000e+00
7.477387e-01,0.000000e+00
7.517588e-01,0.000000e+00
7.557789e-01,0.000000e+00
7.597990e-01,0.000000e+00
7.638191e-01,0.000000e+00
7.678392e-01,0.000000e+00
7.718593e-01,0.000000e+00
7.758794e-01,0.000000e+00
7.798995e-01,0.000000e+00
7.839196e-01,0.000000e+00
7.879397e-01,0.000000e+00
7.919598e-01,0.000000e+00
7.959799e-01,0.000000e+00
8.000000e-01,-0.000000e+00
